passport_id;user_id;serial_number;who_release;date_release;address_registration
64;64;1111111174;443942, г. Самара, ул. Чехова, 33, оф. 11;1989-07-03;443942, г. Самара, ул. Чехова, 33, оф. 11
65;65;1111111175;625126, г. Тюмень, ул. Весенняя, 11, оф. 61;1989-07-04;625126, г. Тюмень, ул. Весенняя, 11, оф. 61
66;66;1111111176;454899, г. Челябинск, ул. Куйбышева, 26, оф. 61;1989-07-05;454899, г. Челябинск, ул. Куйбышева, 26, оф. 61
67;67;1111111177;445169, г. Тольятти, ул. Шоссейная, 22, оф. 40;1989-07-06;445169, г. Тольятти, ул. Шоссейная, 22, оф. 40
68;68;1111111178;630639, г. Новосибирск, ул. Лесная, 14, оф. 71;1989-07-07;630639, г. Новосибирск, ул. Лесная, 14, оф. 71
69;69;1111111179;410387, г. Саратов, ул. Родниковая, 18, оф. 55;1989-07-08;410387, г. Саратов, ул. Родниковая, 18, оф. 55
70;70;1111111180;426598, г. Ижевск, ул. Южная, 10, оф. 64;1989-07-09;426598, г. Ижевск, ул. Южная, 10, оф. 64
71;71;1111111181;625839, г. Тюмень, ул. Чкалова, 34, оф. 88;1989-07-10;625839, г. Тюмень, ул. Чкалова, 34, оф. 88
72;72;1111111182;426139, г. Ижевск, ул. Озерная, 13, оф. 46;1989-07-11;426139, г. Ижевск, ул. Озерная, 13, оф. 46
73;73;1111111183;614602, г. Пермь, ул. Красная, 16, оф. 44;1989-07-12;614602, г. Пермь, ул. Красная, 16, оф. 44
74;74;1111111184;454751, г. Челябинск, ул. Партизанская, 36, оф. 63;1989-07-13;454751, г. Челябинск, ул. Партизанская, 36, оф. 63
75;75;1111111185;620986, г. Екатеринбург, ул. Родниковая, 4, оф. 100;1989-07-14;620986, г. Екатеринбург, ул. Родниковая, 4, оф. 100
76;76;1111111186;420541, г. Казань, ул. Колхозная, 6, оф. 55;1989-07-15;420541, г. Казань, ул. Колхозная, 6, оф. 55
77;77;1111111187;644836, г. Омск, ул. Озерная, 20, оф. 47;1989-07-16;644836, г. Омск, ул. Озерная, 20, оф. 47
78;78;1111111188;620788, г. Екатеринбург, ул. Интернациональная, 10, оф. 34;1989-07-17;620788, г. Екатеринбург, ул. Интернациональная, 10, оф. 34
79;79;1111111189;620662, г. Екатеринбург, ул. Новая, 17, оф. 72;1989-07-18;620662, г. Екатеринбург, ул. Новая, 17, оф. 72
80;80;1111111190;625932, г. Тюмень, ул. Свердлова, 9, оф. 64;1989-07-19;625932, г. Тюмень, ул. Свердлова, 9, оф. 64
81;81;1111111191;190827, г. Санкт-Петербург, ул. Родниковая, 10, оф. 71;1989-07-20;190827, г. Санкт-Петербург, ул. Родниковая, 10, оф. 71
82;82;1111111192;190091, г. Санкт-Петербург, ул. 1 Мая, 1, оф. 37;1989-07-21;190091, г. Санкт-Петербург, ул. 1 Мая, 1, оф. 37
83;83;1111111193;450074, г. Уфа, ул. Солнечная, 24, оф. 5;1989-07-22;450074, г. Уфа, ул. Солнечная, 24, оф. 5
84;84;1111111194;620150, г. Екатеринбург, ул. Гагарина, 30, оф. 4;1989-07-23;620150, г. Екатеринбург, ул. Гагарина, 30, оф. 4
85;85;1111111195;125885, г. Москва, ул. Мира, 31, оф. 14;1989-07-24;125885, г. Москва, ул. Мира, 31, оф. 14
86;86;1111111196;426297, г. Ижевск, ул. Труда, 43, оф. 40;1989-07-25;426297, г. Ижевск, ул. Труда, 43, оф. 40
87;87;1111111197;603428, г. Нижний Новгород, ул. Озерная, 7, оф. 36;1989-07-26;603428, г. Нижний Новгород, ул. Озерная, 7, оф. 36
88;88;1111111198;660629, г. Красноярск, ул. Озерная, 23, оф. 11;1989-07-27;660629, г. Красноярск, ул. Озерная, 23, оф. 11
89;89;1111111199;394149, г. Воронеж, ул. Чкалова, 49, оф. 44;1989-07-28;394149, г. Воронеж, ул. Чкалова, 49, оф. 44
90;90;1111111200;630045, г. Новосибирск, ул. Больничная, 3, оф. 81;1989-07-29;630045, г. Новосибирск, ул. Больничная, 3, оф. 81
91;91;1111111201;394878, г. Воронеж, ул. Овражная, 37, оф. 25;1989-07-30;394878, г. Воронеж, ул. Овражная, 37, оф. 25
92;92;1111111202;644017, г. Омск, ул. Ленина, 31, оф. 87;1989-07-31;644017, г. Омск, ул. Ленина, 31, оф. 87
93;93;1111111203;125417, г. Москва, ул. Горная, 46, оф. 56;1989-08-01;125417, г. Москва, ул. Горная, 46, оф. 56
94;94;1111111204;603363, г. Нижний Новгород, ул. Майская, 35, оф. 76;1989-08-02;603363, г. Нижний Новгород, ул. Майская, 35, оф. 76
95;95;1111111205;443513, г. Самара, ул. Восточная, 24, оф. 23;1989-08-03;443513, г. Самара, ул. Восточная, 24, оф. 23
96;96;1111111206;190383, г. Санкт-Петербург, ул. Фрунзе, 14, оф. 20;1989-08-04;190383, г. Санкт-Петербург, ул. Фрунзе, 14, оф. 20
97;97;1111111207;614818, г. Пермь, ул. Спортивная, 28, оф. 23;1989-08-05;614818, г. Пермь, ул. Спортивная, 28, оф. 23
98;98;1111111208;125162, г. Москва, ул. 8 Марта, 34, оф. 39;1989-08-06;125162, г. Москва, ул. 8 Марта, 34, оф. 39
99;99;1111111209;190995, г. Санкт-Петербург, ул. Нагорная, 16, оф. 12;1989-08-07;190995, г. Санкт-Петербург, ул. Нагорная, 16, оф. 12
100;100;1111111210;660064, г. Красноярск, ул. Железнодорожная, 42, оф. 51;1989-08-08;660064, г. Красноярск, ул. Железнодорожная, 42, оф. 51
