doctor_id;fio;phone;specialty;birthday;experience;login;password;cabinet
63;Цыденов Петр Иванович;79210388862;Ортопед;1986-10-20;5;Paxillose;Starveling;17
64;Маринич Евгений Павлович;79211108416;Хирург;1986-11-25;5,1;Hoopla;Eschew;18
65;Заонегин Герман Янович;79215111435;Онколог;1986-12-31;5,2;Apistia;Formicquinn50;19
66;Балан Владимир Германович;79219111798;Терапевт;1987-02-05;5,3;Dudeen;Gargoyle;20
67;Тарасенков Марсель Эдуардович;79212751478;Гинеколог;1987-03-13;5,4;Charisma;Obeophone;21
68;Клименченко Станислав Маратович;79219933008;Уролог;1987-04-18;5,5;Loco;Orotund;22
69;Филипов Марсель Глебович;79212076332;Офтальмолог;1987-05-24;5,6;Predella;Araneiform;23
70;Барсук Роман Ильич;79214441339;Эндокринолог;1987-06-29;5,7;Fartlek;Yellowbelly;1
71;Тамурова Татьяна Кирилловна;79210465241;Невролог;1987-08-04;5,8;Vacuous;Scatophagous;2
72;Ожогов Ефим Александрович;79213544530;Ортопед;1987-09-09;5,9;Remora;Bosh;3
73;Уральских Рамиль Константинович;79213747170;Хирург;1987-10-15;6;Pedalian;Expromission;4
74;Вильман Николай Петрович;79211475760;Онколог;1987-11-20;6,1;Catawampus;Nadir;5
75;Марцинковская Диана Владиславовна;79211633155;Терапевт;1987-12-26;6,2;Dumbsize;Biotaxy;6
76;Гудаева Олеся Артуровна;79210996294;Гинеколог;1988-01-31;6,3;Bowyang;Glabella;7
77;Аплечеева Эльмира Ивановна;79217838634;Уролог;1988-03-07;6,4;Poultdey50;RudeBoy;8
78;Пузырева Анжелика Александровна;79217235933;Офтальмолог;1988-04-12;6,5;Cacophony;Furphy;9
79;Косоверов Станислав Станиславович;79210742397;Эндокринолог;1988-05-18;6,6;Mamelon;Puckery;10
80;Подпругина Александра Валерьевна;79219792738;Невролог;1988-06-23;6,7;Digeridoo;Philtrum;11
81;Дунская Лариса Федоровна;79212139487;Ортопед;1988-07-29;6,8;NetworTyroid;Dulciloquy;12
82;Бутова Кира Тимофеевна;79210180420;Хирург;1988-09-03;6,9;Gobsmacked;Conundrum;13
83;Царевитинов Максим Вадимович;79219573556;Онколог;1988-10-09;7;Bellarmine;Recriminate;14
84;Дышеков Данил Семенович;79212669044;Терапевт;1988-11-14;7,1;Ululation;WaneSnool;15
85;Бугело Герман Германович;79216821603;Гинеколог;1988-12-20;7,2;Strabotomy;Scleroid;16
86;Семячкова Ангелина Валерьевна;79211276481;Уролог;1989-01-25;7,3;Quizzity;Vortex3Tater;17
87;Садофьева Татьяна Борисовна;79213978433;Офтальмолог;1989-03-02;7,4;Subessive;Muscariform;18
88;Венглинская Надежда Ефимовна;79210960403;Эндокринолог;1989-04-07;7;KlarakPrimp;Fancywork;19
89;Нухимович Алла Никитовна;79218525562;Невролог;1989-05-13;4;Photophilous;Venatic;20
90;Видьманова Альбина Сергеевна;79218022846;Ортопед;1989-06-18;3;SabrinZephyr;Loophole;21
91;Шалагинов Владимир Евгеньевич;79213417744;Хирург;1989-07-24;2;Agoraphobia;WritingDehort;22
92;Акцынова Александра Дмитриевна;79214089010;Онколог;1989-08-29;1;DjcreepHoi;GoblueRagtag;23
93;Бобыкин Петр Евгеньевич;79216342979;Терапевт;1989-10-04;2;Octothorp;Pavonian;1
94;Лепешкин Вадим Денисович;79217215688;Гинеколог;1989-11-09;3;MechmanEcru;Wunderkind;2
95;Извозчикова Ангелина Михаиловна;79212970318;Уролог;1989-12-15;4;Gunarchy;Echolalia;3
96;Ерина Олеся Ринатовна;79211672771;Офтальмолог;1990-01-20;6;Whitey_Rugrat;Brouhaha;4
97;Мурашев Рамиль Владиславович;79210670369;Эндокринолог;1990-02-25;8;Euonymous;Wapenshaw;5
98;Лавренков Константин Радикович;79218074854;Невролог;1990-04-02;1;Soliloquy;VaccarRhumb;6
99;Мишурина Александра Ярославовна;79214108296;Ортопед;1990-05-08;8;Nosology;Propinquity;7
100;Корчмин Анатолий Никитович;79215463177;Хирург;1990-06-13;4;Gazpacho;EnedUnau;8
